"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","regulation of primary metabolic process","GO:0080090","true","6.497168736854707e-9","8.187275854100678","5390","129","70","21026","EPAS1,FABP5,FMO2,SERPINB3,ADIRF,CD44,CTSC,SLC38A2,IER3,ERRFI1,NTS,FOSB,NAMPT,CXCL8,HEXIM1,TFRC,IRS2,DUSP6,GPRC5A,SGK1,EGR1,SCGB1A1,CCL5,ATF4,STAT2,CSTA,CCNL1,PLK2,ABHD5,NR4A1,AHR,MYH9,CLK1,TSC22D2,TCF7,HNRNPH1,SORL1,ZBTB10,MRTFB,KLF4,NR4A2,IER5,TLE4,TRA2A,NIBAN1,FOXN3,CCNL2,KRT17,CTNNB1,FOS,EGFR,TLE3,TRIB1,HBP1,ID1,HP1BP3,TSC22D3,CDK6,INSR,NFKBIZ,CKS2,SRSF2,PABPC1,TENT5C,FOSL2,ELL2,SOX21,PPP3CA,INTS6,CPEB2"
"GO:BP","regulation of metabolic process","GO:0019222","false","0.00000440769422006545","5.355788541911384","7035","129","76","21026","EPAS1,FABP5,FMO2,SERPINB3,ADIRF,CD44,CTSC,SLC38A2,IER3,F3,ERRFI1,TSPAN8,NTS,FOSB,NAMPT,CXCL8,HEXIM1,TFRC,IRS2,DUSP6,GPRC5A,SGK1,CD55,EGR1,SCGB1A1,CCL5,ATF4,STAT2,CSTA,CCNL1,PLK2,ABHD5,NR4A1,AHR,MYH9,CLK1,TSC22D2,TCF7,ECE1,HNRNPH1,SORL1,ZBTB10,MRTFB,KLF4,NR4A2,IER5,TLE4,TRA2A,NIBAN1,FOXN3,CCNL2,KRT17,MCL1,CTNNB1,FOS,RBBP5,EGFR,TLE3,TRIB1,HBP1,ID1,HP1BP3,TSC22D3,CDK6,INSR,NFKBIZ,CKS2,SRSF2,PABPC1,TENT5C,FOSL2,ELL2,SOX21,PPP3CA,INTS6,CPEB2"
"GO:BP","regulation of macromolecule metabolic process","GO:0060255","false","0.000006063419679406413","5.217282371045503","6492","129","72","21026","EPAS1,SERPINB3,ADIRF,CD44,CTSC,SLC38A2,IER3,F3,ERRFI1,TSPAN8,NTS,FOSB,NAMPT,CXCL8,HEXIM1,TFRC,IRS2,DUSP6,GPRC5A,SGK1,CD55,EGR1,SCGB1A1,CCL5,ATF4,STAT2,CSTA,CCNL1,PLK2,NR4A1,AHR,MYH9,CLK1,TSC22D2,TCF7,ECE1,HNRNPH1,SORL1,ZBTB10,MRTFB,KLF4,NR4A2,IER5,TLE4,TRA2A,NIBAN1,FOXN3,CCNL2,KRT17,CTNNB1,FOS,RBBP5,EGFR,TLE3,TRIB1,HBP1,ID1,HP1BP3,TSC22D3,CDK6,INSR,NFKBIZ,CKS2,SRSF2,PABPC1,TENT5C,FOSL2,ELL2,SOX21,PPP3CA,INTS6,CPEB2"
"GO:BP","response to stress","GO:0006950","false","0.000018233822004706273","4.739122289020409","3948","129","52","21026","EPAS1,CD44,CTSC,SLC38A2,SLC12A2,S100A14,IER3,F3,DST,TSPAN8,CXCL8,HEXIM1,TFRC,DUSP6,SGK1,CD55,EGR1,SCGB1A1,CCL5,ATF4,STAT2,PLK2,NR4A1,AHR,MYH9,MT1X,TSC22D2,AQP5,KLF4,NR4A2,IER5,NABP1,BPIFB1,NIBAN1,FOXN3,POLD4,MCL1,GABARAPL1,FOS,RBBP5,EGFR,SDC1,HP1BP3,TSC22D3,CDK6,LYZ,NFKBIZ,FOSL2,STT3B,B4GALT1,PPP3CA,CPEB2"
"GO:BP","positive regulation of macromolecule metabolic process","GO:0010604","false","0.00003282496990576125","4.4837956634035345","3288","129","46","21026","EPAS1,SERPINB3,ADIRF,CD44,CTSC,SLC38A2,IER3,F3,NTS,FOSB,NAMPT,CXCL8,TFRC,IRS2,CD55,EGR1,CCL5,ATF4,STAT2,PLK2,NR4A1,AHR,MYH9,ECE1,SORL1,MRTFB,KLF4,NR4A2,IER5,TRA2A,NIBAN1,KRT17,CTNNB1,FOS,RBBP5,EGFR,TRIB1,CDK6,INSR,NFKBIZ,PABPC1,TENT5C,FOSL2,ELL2,SOX21,PPP3CA"
"GO:BP","cellular response to stimulus","GO:0051716","false","0.000045952623104365424","4.3376896928255","7376","129","76","21026","EPAS1,FABP5,FMO2,SERPINB3,CD44,CTSC,SLC38A2,SLC12A2,S100A14,IER3,F3,ERRFI1,DST,NTS,FOSB,NAMPT,CXCL8,HEXIM1,TFRC,SPARCL1,IRS2,DUSP6,GPRC5A,SGK1,CD55,EGR1,SCGB1A1,CCL5,ATF4,STAT2,STK17B,PLK2,NR4A1,AHR,MYH9,CDC42SE1,MT1X,TCF7,AQP5,ECE1,MAT2A,SORL1,KLF4,NR4A2,IER5,TLE4,AVPI1,NABP1,BPIFB1,NIBAN1,FOXN3,POLD4,GIT2,DOCK5,MCL1,GABARAPL1,CTNNB1,FOS,BCAM,RBBP5,EGFR,SDC1,TLE3,TRIB1,HBP1,ID1,HP1BP3,RIT1,CDK6,INSR,NFKBIZ,FOSL2,STT3B,PPP3CA,CPEB2,PAQR7"
"GO:BP","positive regulation of metabolic process","GO:0009893","false","0.0000627819657063297","4.202165090642232","3597","129","48","21026","EPAS1,FABP5,SERPINB3,ADIRF,CD44,CTSC,SLC38A2,IER3,F3,NTS,FOSB,NAMPT,CXCL8,TFRC,IRS2,CD55,EGR1,CCL5,ATF4,STAT2,PLK2,ABHD5,NR4A1,AHR,MYH9,ECE1,SORL1,MRTFB,KLF4,NR4A2,IER5,TRA2A,NIBAN1,KRT17,CTNNB1,FOS,RBBP5,EGFR,TRIB1,CDK6,INSR,NFKBIZ,PABPC1,TENT5C,FOSL2,ELL2,SOX21,PPP3CA"
"GO:BP","positive regulation of macromolecule biosynthetic process","GO:0010557","false","0.00009331729485765167","4.030037859306305","2593","129","39","21026","EPAS1,ADIRF,SLC38A2,F3,NTS,FOSB,NAMPT,CXCL8,TFRC,IRS2,CD55,EGR1,CCL5,ATF4,STAT2,NR4A1,AHR,MYH9,SORL1,MRTFB,KLF4,NR4A2,IER5,TRA2A,NIBAN1,KRT17,CTNNB1,FOS,RBBP5,EGFR,CDK6,INSR,NFKBIZ,PABPC1,TENT5C,FOSL2,ELL2,SOX21,PPP3CA"
"GO:BP","regulation of multicellular organismal process","GO:0051239","false","0.000118603616588005","3.925902067799189","2956","129","42","21026","EPAS1,FABP5,SERPINB3,CTSC,SLC12A2,IFRD1,F3,ERRFI1,TSPAN8,CXCL8,TFRC,IRS2,PTPRZ1,DUSP6,SGK1,CD55,EGR1,SCGB1A1,CCL5,ATF4,PLK2,NR4A1,AHR,TCF7,ECE1,SORL1,MRTFB,KLF4,NR4A2,KRT17,DOCK5,CTNNB1,FOS,EGFR,TLE3,TRIB1,ID1,CDK6,INSR,NFKBIZ,FOSL2,PPP3CA"
"GO:BP","regulation of RNA metabolic process","GO:0051252","false","0.0001381549973693465","3.859633401079153","3687","129","48","21026","EPAS1,ADIRF,NTS,FOSB,NAMPT,CXCL8,HEXIM1,TFRC,SGK1,EGR1,SCGB1A1,ATF4,STAT2,CCNL1,NR4A1,AHR,TSC22D2,TCF7,ZBTB10,MRTFB,KLF4,NR4A2,IER5,TLE4,TRA2A,FOXN3,CCNL2,CTNNB1,FOS,EGFR,TLE3,TRIB1,HBP1,ID1,HP1BP3,TSC22D3,CDK6,INSR,NFKBIZ,CKS2,SRSF2,PABPC1,TENT5C,FOSL2,ELL2,SOX21,PPP3CA,INTS6"
"GO:BP","regulation of cellular process","GO:0050794","false","0.00014669094955958617","3.8335966801415875","11946","129","102","21026","EPAS1,FABP5,FMO2,SERPINB3,ADIRF,CD44,CTSC,SLC38A2,SLC12A2,KRT5,S100A14,IER3,IFRD1,F3,C1ORF56,ERRFI1,DST,TSPAN8,NTS,FOSB,NAMPT,CXCL8,HEXIM1,TFRC,SPARCL1,IRS2,ATP1B3,PTPRZ1,DUSP6,VMP1,GPRC5A,SGK1,CD55,EGR1,SCGB1A1,CCL5,ATF4,STAT2,STK17B,CSTA,CCNL1,PLK2,ABHD5,NR4A1,AHR,MYH9,CLK1,CDC42SE1,TSC22D2,TCF7,ECE1,MAT2A,HNRNPH1,SORL1,ZBTB10,MRTFB,ATL3,KLF4,NR4A2,IER5,TLE4,AVPI1,TRA2A,NABP1,BPIFB1,NIBAN1,FOXN3,POLD4,CCNL2,GIT2,KRT17,DOCK5,MCL1,CTNNB1,FOS,BCAM,RBBP5,EGFR,SDC1,TLE3,TRIB1,HBP1,ID1,HP1BP3,TSC22D3,RIT1,CDK6,INSR,NFKBIZ,CKS2,LIMA1,SRSF2,PABPC1,TENT5C,FOSL2,ELL2,SOX21,B4GALT1,PPP3CA,INTS6,CPEB2,PAQR7"
"GO:BP","response to stimulus","GO:0050896","false","0.00016727065380868234","3.776580245570057","8999","129","85","21026","EPAS1,FABP5,FMO2,SERPINB3,CD44,CTSC,SLC38A2,SLC12A2,KRT5,S100A14,IER3,F3,ERRFI1,DST,TSPAN8,NTS,FOSB,NAMPT,CXCL8,HEXIM1,TFRC,SPARCL1,IRS2,DUSP6,GPRC5A,S100A16,SGK1,CD55,EGR1,SLC6A14,SCGB1A1,CCL5,ATF4,STAT2,STK17B,PLK2,NR4A1,AHR,MYH9,CDC42SE1,MT1X,TSC22D2,TCF7,AQP5,ECE1,MAT2A,SORL1,KLF4,NR4A2,IER5,TLE4,AVPI1,NABP1,BPIFB1,NIBAN1,FOXN3,POLD4,GIT2,DOCK5,MCL1,GABARAPL1,CTNNB1,FOS,BCAM,RBBP5,EGFR,SDC1,TLE3,TRIB1,HBP1,ID1,HP1BP3,TSC22D3,RIT1,CDK6,LYZ,INSR,NFKBIZ,SRSF2,FOSL2,STT3B,B4GALT1,PPP3CA,CPEB2,PAQR7"
"GO:BP","cell migration","GO:0016477","true","0.0002528586735569509","3.5971221446087918","1534","129","28","21026","SERPINB3,CD44,SLC12A2,KRT5,S100A14,F3,ERRFI1,S100A2,CXCL8,IRS2,SGK1,CCL5,PLK2,NR4A1,MYH9,SORL1,KLF4,NR4A2,DOCK5,CTNNB1,EGFR,SDC1,TRIB1,ID1,INSR,LIMA1,B4GALT1,PPP3CA"
"GO:BP","positive regulation of biosynthetic process","GO:0009891","false","0.00026534893777865133","3.5761826465602926","2696","129","39","21026","EPAS1,ADIRF,SLC38A2,F3,NTS,FOSB,NAMPT,CXCL8,TFRC,IRS2,CD55,EGR1,CCL5,ATF4,STAT2,NR4A1,AHR,MYH9,SORL1,MRTFB,KLF4,NR4A2,IER5,TRA2A,NIBAN1,KRT17,CTNNB1,FOS,RBBP5,EGFR,CDK6,INSR,NFKBIZ,PABPC1,TENT5C,FOSL2,ELL2,SOX21,PPP3CA"
"GO:BP","epidermis development","GO:0008544","false","0.0002822909943946348","3.54930297643013","398","129","14","21026","FABP5,KRT5,ERRFI1,KRT15,CSTA,KLF4,KRT17,CTNNB1,EGFR,INSR,NFKBIZ,FOSL2,SOX21,PPP3CA"
